Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
DVN,DVN US Equity,44631,44631,D,Q,USD,44631,0.965,42515.577,38948.688,44561,4489,1.455,1904.2
DXCM,DXCM US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,38492.834,37880.8343,44561,-849.1,0.539,130.583
FANG,FANG US Equity,44631,44631,D,Q,USD,44631,1.852,29427.499,23005.399,44561,6033,4.41,1384.647
DLR,DLR US Equity,44631,44631,D,Q,USD,44631,3.544,54322.138,39401.5906,44561,14817.699,0.423,607.375
DFS,DFS US Equity,44631,44631,D,Q,USD,44631,1.985,#N/A N/A,29763.8882,44561,11477,3.438,#N/A N/A
DISCA,DISCA US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,28588.12,16039.7445,44561,11738,0.576,842
DISCK,DISCK US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,28588.12,16039.7445,44561,11738,0.576,842
DISH,DISH US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,36343.484,15896.6424,44561,17391.512,0.782,916.667
DIS,DIS US Equity,44631,44631,D,Q,USD,44631,1.236,291153.674,239868.4515,44561,39688,1.202,4223.571
DG,DG US Equity,44631,44631,D,Q,USD,44631,0.912,51216.022,47627.2719,44561,#N/A N/A,2.553,942.467
DLTR,DLTR US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,34610.54,33073.0398,44561,8985.4,1.598,635.9
D,D US Equity,44631,44631,D,Q,USD,44631,3.292,111021.035,66686.0351,44561,40806,1.199,1705
DPZ,DPZ US Equity,44631,44631,D,Q,USD,44631,1.147,18849.55,13923.3004,44561,5128.259,3.389,215.688
DOV,DOV US Equity,44631,44631,D,Q,USD,44631,1.388,24095.112,21698.9455,44561,2925.688,1.906,415.455
DOW,DOW US Equity,44631,44631,D,Q,USD,44631,4.697,56945.936,44774.0793,44561,13147,1.703,2559.833
DTE,DTE US Equity,44631,44631,D,Q,USD,44631,2.794,44132.516,24599.9158,44561,18216,1.997,1144.25
DUK,DUK US Equity,44631,44631,D,Q,USD,44631,3.835,152881.91,81621.66,44561,68208,1.32,2914.333
DRE,DRE US Equity,44631,44631,D,Q,USD,44631,2.101,24666.042,20527.8324,44561,3619.53,0.19,189.2
DD,DD US Equity,44631,44631,D,Q,USD,44631,1.991,46856.864,37180.6635,44561,9193,1.176,1105.5
DXC,DXC US Equity,44631,44631,D,Q,USD,44631,2.618,9808.244,7471.2437,44561,3214,1.011,725.5
EMN,EMN US Equity,44631,44631,D,Q,USD,44631,2.861,17961.794,13595.7937,44561,4907,2.272,541.083
ETN,ETN US Equity,44631,44631,D,Q,USD,44631,2.165,66760.811,58704.8106,44561,8468,1.638,938.625
EBAY,EBAY US Equity,44631,44631,D,Q,USD,44631,1.694,#N/A N/A,29411.6975,44561,915,1.114,980.5
ECL,ECL US Equity,44631,44631,D,Q,USD,44631,1.294,53946.256,45550.4807,44561,8796,1.284,685.385
EIX,EIX US Equity,44631,44631,D,Q,USD,44631,4.309,56121.355,24665.3551,44561,29143,0.722,1155.333
EW,EW US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,63335.809,64470.8094,44561,-776.5,0.598,467.909
EA,EA US Equity,44631,44631,D,Q,USD,44631,0.584,33411.92,34401.92,44561,-773,1.501,601.214
